MRT,latitude,longitude
Jurong East MRT Station,1.333295066,103.7421539
Bukit Batok MRT Station,1.348710811,103.7493345
Bukit Gombak MRT Station,1.358611591,103.7517909
Choa Chu Kang MRT Station,1.385363165,103.7443708
Yew Tee MRT Station,1.39757979,103.7474595
Kranji MRT Station,1.425086981,103.7621375
Marsiling MRT Station,1.432521149,103.7740746
Woodlands MRT Station,1.436057617,103.7879388
Admiralty MRT Station,1.440588562,103.8009905
Sembawang MRT Station,1.449050822,103.8200461
Canberra MRT Station,1.443076641,103.8297026
Yishun MRT Station,1.429443085,103.835005
Khatib MRT Station,1.41738337,103.8329799
Yio Chu Kang MRT Station,1.3816826,103.8449911
Ang Mo Kio MRT Station,1.36993285,103.8495581
Bishan MRT Station,1.351315801,103.8491403
Braddell MRT Station,1.340469001,103.8467991
Toa Payoh MRT Station,1.332596728,103.8475773
Novena MRT Station,1.320440791,103.8438256
Newton MRT Station,1.312318922,103.8379846
Orchard MRT Station,1.302422248,103.8238685
Somerset MRT Station,1.300264167,103.8390858
Dhoby Ghaut MRT Station,1.298688723,103.8461799
City Hall MRT Station,1.292989907,103.8525426
Raffles Place MRT Station,1.283933262,103.8514631
Marina Bay MRT Station,1.276427355,103.8545978
Marina South Pier MRT Station,1.271027036,103.8624475
Pasir Ris MRT Station,1.373043316,103.9492845
Tampines MRT Station,1.345515306,103.938437
Simei MRT Station,1.343197079,103.9533772
Tanah Merah MRT Station,1.327187291,103.9463486
Bedok MRT Station,1.320401487,103.9571838
Kembangan MRT Station,1.321038134,103.9129479
Eunos MRT Station,1.319783549,103.9032258
Paya Lebar MRT Station,1.31719912,103.8923649
Aljunied MRT Station,1.316432612,103.882906
Kallang MRT Station,1.31148891,103.8713865
Lavender MRT Station,1.307377817,103.8627676
Bugis MRT Station,1.300465085,103.8557067
Tanjong Pagar MRT Station,1.276561317,103.8457252
Outram Park MRT Station,1.279739707,103.8395135
Tiong Bahru MRT Station,1.286102536,103.8274451
Redhill MRT Station,1.289634534,103.816741
Queenstown MRT Station,1.294550852,103.8060772
Commonwealth MRT Station,1.302501999,103.7982285
Buona Vista MRT Station,1.307223708,103.7902535
Dover MRT Station,1.311405293,103.7786378
Clementi MRT Station,1.315116253,103.7651915
Chinese Garden MRT Station,1.342352821,103.7325967
Lakeside MRT Station,1.344259115,103.7209491
Boon Lay MRT Station,1.338610339,103.7060849
Pioneer MRT Station,1.337587011,103.6973216
Joo Koon MRT Station,1.327717041,103.678375
Gul Circle MRT Station,1.319470901,103.6605305
Tuas Crescent MRT Station,1.321026956,103.6490782
Tuas West Road MRT Station,1.329985047,103.6396166
Tuas Link MRT Station,1.340882425,103.6369914
Expo MRT Station,1.335382526,103.9623747
Changi Airport MRT Station,1.357478974,103.9878836
HarbourFront MRT Station,1.265389384,103.8215302
Chinatown MRT Station,1.284223919,103.8451438
Clarke Quay MRT Station,1.288386024,103.8465552
Little India MRT Station,1.307243816,103.8498416
Farrer Park MRT Station,1.311905573,103.8534777
Boon Keng MRT Station,1.319596792,103.8617507
Potong Pasir MRT Station,1.331879714,103.8690579
Woodleigh MRT Station,1.339190045,103.8708183
Serangoon MRT Station,1.350633615,103.8727717
Kovan MRT Station,1.360179171,103.8850649
Hougang MRT Station,1.371292266,103.8923805
